"Rk,Player,Tm,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed"
"199,Ben McLemore\mclembe01,SAC,$5460000,,,,,,,$5460000"
"200,Alex Abrines\abrinal01,OKC,$5455236,,,,,,,$5455236"
"201,Patrick Patterson\pattepa01,OKC,$5451600,$5711200,,,,,MLE,$5451600"
"202,Jason Smith\smithja02,NOP,$5450000,,,,,,Cap Space,$5450000"
"203,Marcus Morris\morrima03,BOS,$5375000,,,,,,Bird Rights,$5375000"
"204,Trae Young\youngtr01,ATL,$5356440,$6273000,$6571800,$8326471,,,1st Round Pick,$11629440"
"205,Dwight Howard\howardw01,WAS,$5337000,$5603850,,,,,MLE,$5337000"
"206,DeMarcus Cousins\couside01,GSW,$5337000,,,,,,MLE,$5337000"
"207,Josh Smith\smithjo03,DET,$5331729,$5331729,,,,,,$10663458"
"208,Alexis Ajinca\ajincal01,LAC,$5285394,,,,,,,$5285394"
"209,Thabo Sefolosha\sefolth01,UTA,$5250000,,,,,,Cap space,$5250000"
"210,Aron Baynes\baynear01,BOS,$5193600,$5453280,,,,,,$5193600"
"211,Jaylen Brown\brownja02,BOS,$5169960,$6534829,,,,,1st Rd pick,$11704789"
"212,Patrick Beverley\beverpa01,LAC,$5027028,,,,,,Bird Rights,$5027028"
"213,Tony Parker\parketo01,CHO,$5000000,$5000000,,,,,MLE,$10000000"
"214,Mike Muscala\muscami01,LAL,$5000000,,,,,,Cap space,$5000000"
"215,Dirk Nowitzki\nowitdi01,DAL,$5000000,,,,,,Cap Space,$5000000"
"216,Jonathan Isaac\isaacjo01,ORL,$4969080,$5806440,$7362566,,,,1st Round Pick,$10775520"
"217,Mohamed Bamba\bambamo01,ORL,$4865040,$5697600,$5969040,$7568742,,,1st Round Pick,$24100422"
"218,Willie Cauley-Stein\caulewi01,SAC,$4696875,,,,,,1st round pick,$4696875"
"219,Dragan Bender\bendedr01,PHO,$4661280,,,,,,1st Round pick,$4661280"
"220,Ron Baker\bakerro01,NYK,$4544400,,,,,,,$4544400"
"221,Lauri Markkanen\markkla01,CHI,$4536120,$5300400,$6731508,,,,1st Round Pick,$9836520"
"222,Lance Stephenson\stephla01,LAL,$4449000,,,,,,,$4449000"
"223,Kyle O'Quinn\oquinky01,IND,$4449000,,,,,,Room Exception,$4449000"
"224,Ed Davis\davised01,BRK,$4449000,,,,,,Room Exception,$4449000"
"225,Wendell Carter\cartewe01,CHI,$4441200,$5201400,$5448840,$6920027,,,1st Round Pick,$9642600"
"226,Justin Holiday\holidju01,MEM,$4384616,,,,,,MLE,$4384616"
"227,Alex Len\lenal01,ATL,$4350000,$4160000,,,,,Room Exception,$8510000"
"228,Mike Scott\scottmi01,PHI,$4320500,,,,,,MLE,$4320500"
"229,Luc Mbah a Moute\mbahalu01,LAC,$4320500,,,,,,MLE,$4320500"
"230,Emmanuel Mudiay\mudiaem01,NYK,$4294480,,,,,,1st round pick,$4294480"
"231,Kris Dunn\dunnkr01,CHI,$4221000,$5348007,,,,,1st Round pick,$9569007"
"232,Frank Ntilikina\ntilila01,NYK,$4155720,$4855800,$6176578,,,,1st Round Pick,$9011520"
"233,Glenn Robinson\robingl02,DET,$4075000,$4150000,,,,,MLE,$4075000"
"234,Collin Sexton\sextoco01,CLE,$4068600,$4764960,$4991880,$6349671,,,1st Round Pick,$8833560"
"235,Al Jefferson\jeffeal01,IND,$4000000,,,,,,,$4000000"
"236,Stanley Johnson\johnsst04,NOP,$3940402,,,,,,1st round pick,$3940402"
"237,Buddy Hield\hieldbu01,SAC,$3833760,$4861208,,,,,1st Round pick,$8694968"
"238,Dennis Smith\smithde03,NYK,$3819960,$4463640,$5686677,,,,1st Round Pick,$8283600"
"239,Kevin Knox\knoxke01,NYK,$3739920,$4380120,$4588680,$5845978,,,1st Round Pick,$8120040"
"240,J.J. Barea\bareajo01,DAL,$3710850,,,,,,Cap Space,$3710850"
"241,Nene Hilario\hilarne01,HOU,$3651480,$3825360,,,,,Non-Bird Rights,$7476840"
"242,Zach Collins\colliza01,POR,$3628920,$4240200,$5406255,,,,1st Round Pick,$7869120"
"243,Frank Kaminsky\kaminfr01,CHO,$3627842,,,,,,1st round pick,$3627842"
"244,Mikal Bridges\bridgmi01,PHO,$3552960,$4161000,$4359000,$5557725,,,1st Round Pick,$7713960"
"245,Mirza Teletovic\teletmi01,MIL,$3500000,$3500000,$3500000,,,,,$10500000"
"246,Michael Beasley\beaslmi01,LAC,$3500000,,,,,,,$3500000"
"247,Jamal Murray\murraja01,DEN,$3499800,$4444746,,,,,1st Round pick,$7944546"
"248,Rodney Hood\hoodro01,POR,$3472887,,,,,,,$3472887"
"249,Jodie Meeks\meeksjo01,MIL,$3454500,,,,,,,$3454500"
"250,Justise Winslow\winslju01,MIA,$3448926,$13000000,$13000000,$13000000,,,1st round pick,$29448926"
"251,Malik Monk\monkma01,CHO,$3447480,$4028400,$5345687,,,,1st Round Pick,$7475880"
"252,Myles Turner\turnemy01,IND,$3410284,$18000000,$18000000,$18000000,$18000000,,1st round pick,$75410284"
"253,Allonzo Trier\trieral01,NYK,$3382000,$3551100,,,,,Bi-Annual Exception,$3382000"
"254,Brook Lopez\lopezbr01,MIL,$3382000,,,,,,Bi-annual Exception,$3382000"
"255,Shai Gilgeous-Alexander\gilgesh01,LAC,$3375360,$3952920,$4141320,$5495532,,,1st Round Pick,$7328280"
"256,Trey Lyles\lylestr01,DEN,$3364249,,,,,,1st round pick,$3364249"
"257,Ekpe Udoh\udohek01,UTA,$3360000,,,,,,Room Exception,$3360000"
"258,Devin Booker\bookede01,PHO,$3314365,$27250000,$29430000,$31610000,$33790000,,1st round pick,$161364365"
"259,Luke Kennard\kennalu01,DET,$3275280,$3827160,$5273826,,,,1st Round Pick,$7102440"
"260,Cameron Payne\payneca01,CHI,$3263295,,,,,,,$3263295"
"261,Troy Daniels\danietr01,PHO,$3258539,,,,,,Cap Space,$3258539"
"262,Kelly Oubre\oubreke01,PHO,$3208630,,,,,,1st round pick,$3208630"
"263,Miles Bridges\bridgmi02,CHO,$3206640,$3755400,$3934320,$5421493,,,1st Round Pick,$6962040"
"264,Marquese Chriss\chrisma01,CLE,$3206160,,,,,,1st Rd pick,$3206160"
"265,Tomas Satoransky\satorto01,WAS,$3129187,,,,,,Cap Space,$3129187"
"266,Bryn Forbes\forbebr01,SAS,$3125000,$2875000,,,,,Early Bird Rights,$6000000"
"267,Donovan Mitchell\mitchdo01,UTA,$3111480,$3635760,$5195501,,,,1st Round Pick,$6747240"
"268,Terry Rozier\roziete01,BOS,$3050390,,,,,,1st round pick,$3050390"
"269,Jerome Robinson\robinje01,LAC,$3046200,$3567720,$3737520,$5340916,,,1st Round Pick,$6613920"
"270,Yogi Ferrell\ferreyo01,SAC,$3000000,$3150000,,,,,Cap Space,$3000000"
"271,Elfrid Payton\paytoel01,NOP,$3000000,,,,,,Bi-annual Exception,$3000000"
"272,Bam Adebayo\adebaba01,MIA,$2955840,$3454080,$5115492,,,,1st Round Pick,$6409920"
"273,Jakob Poeltl\poeltja01,SAS,$2947320,$3754886,,,,,1st Round pick,$6702206"
"274,Michael Porter\portemi01,DEN,$2894160,$3389400,$3550800,$5258735,,,1st Round Pick,$6283560"
"275,Andrew Nicholson\nichoan01,POR,$2844429,$2844429,$2844429,$2844429,$2844429,,,$17066574"
"276,Justin Jackson\jacksju01,DAL,$2807880,$3280920,$5029650,,,,1st Round Pick,$6088800"
"277,Thon Maker\makerth01,DET,$2799720,$3569643,,,,,1st Round pick,$6369363"
"278,Seth Curry\curryse01,POR,$2795000,,,,,,MLE,$2795000"
