Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
90,Wendell Carter,C,19,CHI,44,1110,15.2,0.541,0.086,0.302,8.6,21.7,15.1,10.8,1.1,4.6,13.4,19.2,,0.7,1.2,2,0.085,,-2.4,2.1,-0.3,0.5
91,Michael Carter-Williams,PG,27,HOU,16,145,12.7,0.476,0.311,0.426,2.3,8,5,22.9,3,3.5,12.1,24.6,,0,0.1,0.1,0.036,,-3.2,-1,-4.1,-0.1
92,Alex Caruso,PG,24,LAL,6,21,9.8,0.521,0.25,1,5.1,0,2.5,6,0,7.6,0,11.4,,0,0,0,0.08,,-2.9,0.7,-2.1,0
93,Omri Casspi,SF,30,MEM,36,520,15.9,0.606,0.267,0.36,3.6,21.8,12.5,8.2,1.9,1.7,11,18.2,,0.6,0.8,1.4,0.126,,-2,0.4,-1.6,0.1
94,Willie Cauley-Stein,C,25,SAC,62,1735,17.6,0.551,0.003,0.342,8.5,22.7,15.4,12.5,2,2.2,9.4,18.4,,2.5,2.3,4.9,0.135,,-0.4,2.3,1.9,1.7
95,Troy Caupain,PG,23,ORL,2,9,33,0.625,0.5,0,0,24.2,11.9,54.9,5.4,0,0,19.4,,0.1,0,0.1,0.397,,9.3,2.3,11.6,0
96,Tyler Cavanaugh,PF,24,UTA,8,19,5.5,0.436,0.5,0.333,5.8,16.9,11.4,0,0,0,12.7,17.7,,0,0,0,-0.025,,-8,-5.5,-13.5,-0.1
97,Tyson Chandler,C,36,TOT,53,846,11.4,0.625,0.01,0.856,11.5,25.1,18.4,5.4,1.2,2.1,22.6,8.5,,1,1.1,2.1,0.117,,-2.8,1.7,-1.1,0.2
97,Tyson Chandler,C,36,PHO,7,89,11.6,0.653,0,1.5,8.7,41.1,24.6,9.2,1.1,0.9,26,13,,0.1,0.1,0.2,0.092,,-5,0.1,-4.9,-0.1
97,Tyson Chandler,C,36,LAL,46,757,11.4,0.621,0.012,0.765,11.8,23.2,17.6,5,1.2,2.2,22,8,,0.9,1,1.9,0.12,,-2.5,1.9,-0.6,0.3
98,Wilson Chandler,PF,31,PHI,36,951,9.1,0.561,0.57,0.087,5.1,13.6,9.5,10,1.1,1.5,15.4,11.2,,0.6,0.9,1.5,0.076,,-0.7,0.8,0.1,0.5
99,Joe Chealey,PG,23,CHO,1,8,2,0.333,0,0,0,0,0,17.5,0,0,0,16.1,,0,0,0,-0.074,,-8.8,-8.1,-16.9,0
100,Marquese Chriss,PF,21,TOT,25,276,9.9,0.493,0.481,0.231,7.8,22.7,15,7.1,1.6,1.9,16.7,21.7,,-0.3,0.2,-0.1,-0.011,,-3.9,-1.9,-5.8,-0.3
100,Marquese Chriss,PF,21,HOU,16,104,3.5,0.391,0.441,0.206,7.3,23.5,15.1,8.3,0.9,3.3,24.4,20.4,,-0.3,0.1,-0.2,-0.111,,-9.1,-0.7,-9.9,-0.2
100,Marquese Chriss,PF,21,CLE,9,172,13.9,0.542,0.5,0.243,8.1,22.2,14.8,6.5,2,1,12.4,22.5,,0.1,0.1,0.2,0.05,,-0.8,-2.5,-3.3,-0.1
