Rk_x,Player,Pos,Age,Tm_x,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Rk_y,Tm_y,year0,year1,year2,year3,year4,year5,Signed Using, Guaranteed 
218,gordon hayward,PF,28.0,BOS,71.0,1825.0,15.6,0.575,0.369,0.301,3.0,15.6,9.3,18.4,1.6,1.1,12.9,19.1,2.6,2.2,4.8,0.127,0.2,0.4,0.5,1.2,6,BOS,31214295,32700690,34187085,,,,Cap space,63914985
219,john henson,C,28.0,MIL,14.0,188.0,17.2,0.5529999999999999,0.46299999999999997,0.149,9.2,28.1,19.2,10.1,1.7,4.9,14.4,18.6,0.1,0.4,0.6,0.147,-1.8,3.1,1.3,0.2,121,CLE,11327466,9732396,,,,,1st Round Pick,21059862
220,juan hernangomez,PF,23.0,DEN,68.0,1325.0,11.0,0.58,0.581,0.27899999999999997,5.1,16.1,10.6,5.0,1.0,1.6,9.7,12.3,1.5,1.4,2.9,0.105,-0.9,-0.1,-1.1,0.3,330,DEN,2166360,3321030,,,,,1st Round pick,5487390
221,willy hernangomez,C,24.0,CHO,57.0,809.0,20.4,0.589,0.129,0.49,15.2,26.2,20.6,11.4,1.0,2.1,14.0,22.1,1.8,0.8,2.6,0.153,0.2,-0.4,-0.2,0.4,406,CHO,1544951,1701735,,,,,Cap Space,1544951
222,mario hezonja,SF,23.0,NYK,56.0,1150.0,10.7,0.49200000000000005,0.33,0.25,2.3,19.1,10.5,10.8,2.2,0.6,13.6,21.0,-1.0,1.0,0.0,-0.001,-3.6,-0.6,-4.2,-0.6,183,NYK,6500000,,,,,,MLE,6500000
223,isaiah hicks,PF,24.0,NYK,1.0,4.0,13.8,0.568,,,0.0,0.0,0.0,31.5,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.132,-4.3,-10.5,-14.9,0.0,,,,,,,,,,
224,buddy hield,SG,26.0,SAC,80.0,2567.0,17.7,0.588,0.475,0.14400000000000002,4.0,12.4,8.1,11.7,1.0,1.1,9.1,25.2,4.3,1.7,6.0,0.11199999999999999,3.1,-1.9,1.2,2.1,237,SAC,3833760,4861208,,,,,1st Round pick,8694968
225,haywood highsmith,SF,22.0,PHI,3.0,15.0,10.7,0.5,0.6,0.0,0.0,20.6,10.6,18.4,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.098,-1.5,-2.7,-4.2,0.0,,,,,,,,,,
226,nene hilario,C,36.0,HOU,40.0,520.0,11.8,0.556,0.019,0.42100000000000004,6.7,18.8,12.6,6.0,1.7,2.3,7.3,11.4,0.7,0.6,1.3,0.12300000000000001,-3.1,1.1,-2.0,0.0,241,HOU,3651480,3825360,,,,,Non-Bird Rights,7476840
227,george hill,PG,32.0,TOT,58.0,1262.0,12.3,0.561,0.39399999999999996,0.212,3.2,8.1,5.7,14.2,1.9,0.5,10.8,15.0,1.6,1.3,2.8,0.10800000000000001,-0.4,-0.4,-0.8,0.4,50,MIL,19000000,18000000,,,,,Cap space,20000000
