,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
96,79,Trey Burke,PG,26,NYK,33,689,15.7,.496,.240,.209,2.2,7.4,4.7,23.3,1.5,0.6,6.9,25.8,,0.5,0.2,0.7,.049,,0.0,-3.2,-3.2,-0.2
97,79,Trey Burke,PG,26,DAL,11,155,15.5,.542,.344,.281,4.9,8.9,6.9,19.9,2.2,0.0,13.3,22.9,,0.1,0.1,0.3,.086,,-0.4,-1.5,-1.9,0.0
98,80,Alec Burks,SG,27,TOT,60,1341,12.8,.524,.353,.298,2.3,16.9,9.4,13.9,1.3,1.3,10.5,19.4,,0.8,0.7,1.5,.054,,-1.5,-0.8,-2.2,-0.1
99,80,Alec Burks,SG,27,UTA,17,269,12.6,.547,.377,.333,0.8,10.0,5.4,11.5,1.1,1.2,10.3,23.2,,0.2,0.3,0.5,.080,,-2.1,-1.7,-3.8,-0.1
100,80,Alec Burks,SG,27,CLE,34,979,13.2,.517,.350,.288,2.8,18.9,10.5,15.2,1.3,1.4,10.7,19.2,,0.6,0.3,0.9,.046,,-1.1,-0.6,-1.7,0.1
101,80,Alec Burks,SG,27,SAC,9,93,9.2,.519,.263,.263,1.1,15.7,8.3,6.8,2.0,0.9,8.6,10.3,,0.0,0.1,0.1,.066,,-3.8,0.6,-3.2,0.0
102,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
103,81,Deonte Burton,SG,25,OKC,24,201,7.9,.511,.318,.121,1.5,9.9,5.6,4.7,1.2,3.3,11.5,15.9,,-0.1,0.3,0.2,.044,,-5.2,-0.2,-5.4,-0.2
104,82,Jimmy Butler,SF-SG,29,TOT,55,1849,20.7,.576,.216,.390,5.9,10.3,8.2,18.1,2.7,1.5,8.1,22.3,,4.8,2.2,7.0,.181,,2.8,0.7,3.6,2.6
105,82,Jimmy Butler,SG,29,MIN,10,361,22.4,.579,.287,.389,4.7,10.8,7.7,18.1,3.2,2.4,7.1,22.9,,1.0,0.4,1.4,.184,,3.8,0.9,4.7,0.6
106,82,Jimmy Butler,SF,29,PHI,45,1488,20.3,.575,.198,.390,6.2,10.2,8.3,18.1,2.6,1.3,8.4,22.2,,3.8,1.8,5.6,.181,,2.6,0.7,3.3,2.0
107,83,Bruno Caboclo,SF,23,MEM,20,412,9.2,.523,.625,.212,4.6,14.8,9.6,8.2,0.8,4.6,14.3,14.5,,0.0,0.5,0.5,.061,,-2.8,1.6,-1.3,0.1
108,84,Jose Calderon,PG,37,DET,48,628,7.2,.456,.471,.092,1.9,8.8,5.2,24.9,1.2,0.4,22.0,10.8,,0.1,0.6,0.6,.047,,-3.8,-0.9,-4.7,-0.4
109,85,Kentavious Caldwell-Pope,SG,25,LAL,66,1512,11.5,.562,.575,.221,2.4,9.0,5.8,6.2,1.7,0.5,7.7,16.4,,1.4,1.2,2.6,.081,,-0.2,-1.1,-1.4,0.2
